OTU,Sample,Abundance,depth_m,Water_Layer,avg_cells_ml,Kingdom,Phylum,Class,Order,Family,Genus,Abundance_P,AA_Genus,Phylum_Genus
Otu00028,LC-3m-E1,0.040599563,3,Mixolimnion,95666.66667,Bacteria,Armatimonadetes,Armatimonadia,Armatimonadales,Armatimonadaceae,Armatimonas,4.059956323,3884.024883,Armatimonadetes|Armatimonas
Otu00014,LC-11m-E1,0.040543821,11,Mixolimnion,104333.3333,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI_unclassified,4.054382132,4230.072023,Actinobacteria|acI_unclassified
Otu00025,LC-3m-E1,0.040301767,3,Mixolimnion,95666.66667,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acTH1,acTH1-A,4.030176692,3855.535703,Actinobacteria|acTH1-A
Otu00006,LC-5m-E1,0.040016998,5,Mixolimnion,86666.66667,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,4.001699837,3468.139859,Cyanobacteria|Chloroplast_ge
Otu00012,LC-17m-E1,0.039926653,17,Monimolimnion,434666.6667,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelotrichaceae_unclassified,3.992665326,17354.78528,Firmicutes|Erysipelotrichaceae_unclassified
Otu00026,LC-9m-E1,0.039862875,9,Mixolimnion,73000,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betIV,betIV-A,3.986287523,2909.989891,Proteobacteria|betIV-A
Otu00025,LC-5m-E1,0.039379559,5,Mixolimnion,86666.66667,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acTH1,acTH1-A,3.937955946,3412.895153,Actinobacteria|acTH1-A
Otu00012,LC-19m-E1,0.039305141,19,Monimolimnion,397000,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelotrichaceae_unclassified,3.930514125,15604.14108,Firmicutes|Erysipelotrichaceae_unclassified
Otu00012,Cadagno15m-E2,0.0391724,15,Chemocline,905000,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelotrichaceae_unclassified,3.917239963,35451.02167,Firmicutes|Erysipelotrichaceae_unclassified
Otu00004,LC-13m-E1,0.038726695,13,Chemocline,95333.33333,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobiaceae_ge,3.872669504,3691.944927,Bacteroidetes|Lentimicrobiaceae_ge
Otu00026,LC-13m-E1,0.038307056,13,Chemocline,95333.33333,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betIV,betIV-A,3.830705593,3651.939332,Proteobacteria|betIV-A
Otu00002,LC-13m-E1,0.037947365,13,Chemocline,95333.33333,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI-B,3.794736527,3617.648822,Actinobacteria|acI-B
Otu00040,LC-3m-E1,0.036893654,3,Mixolimnion,95666.66667,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,alfV,alfV-A,3.689365363,3529.492864,Proteobacteria|alfV-A
Otu00037,LC-13m-E1,0.036029015,13,Chemocline,95333.33333,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonaceae,uncultured,3.602901505,3434.766101,Proteobacteria|uncultured
Otu00019,Cadagno7m-E2,0.035482456,7,Mixolimnion,157333.3333,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,bacVI,unclassified,3.548245614,5582.573098,Bacteroidetes|unclassified
Otu00020,LC-15point5m-E1,0.035002152,15.5,Chemocline,585000,Bacteria,Bacteroidetes,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium,3.500215177,20476.25879,Bacteroidetes|Chlorobium
Otu00019,LC-9m-E1,0.034676746,9,Mixolimnion,73000,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,bacVI,unclassified,3.467674592,2531.402452,Bacteroidetes|unclassified
Otu00038,LC-9m-E1,0.034500945,9,Mixolimnion,73000,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betI,betI-A,3.450094493,2518.56898,Proteobacteria|betI-A
Otu00007,LC-15point5m-E1,0.033711089,15.5,Chemocline,585000,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI-A,3.37110888,19720.98695,Actinobacteria|acI-A
Otu00013,LC-19m-E1,0.033456162,19,Monimolimnion,397000,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,gamI,unclassified,3.34561619,13282.09627,Proteobacteria|unclassified
Otu00022,LC-5m-E1,0.033288477,5,Mixolimnion,86666.66667,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,bacI,bacI-A,3.328847652,2885.001299,Bacteroidetes|bacI-A
Otu00014,Cadagno7m-E2,0.033201754,7,Mixolimnion,157333.3333,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI_unclassified,3.320175439,5223.742689,Actinobacteria|acI_unclassified
Otu00035,LC-5m-E1,0.033075997,5,Mixolimnion,86666.66667,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betII,Pnec,3.307599688,2866.586397,Proteobacteria|Pnec
Otu00005,LC-15point5m-E1,0.032563477,15.5,Chemocline,585000,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betI,betI-B,3.256347726,19049.6342,Proteobacteria|betI-B
Otu00007,LC-17m-E1,0.030580859,17,Monimolimnion,434666.6667,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI-A,3.058085887,13292.47999,Actinobacteria|acI-A
Otu00022,LC-9m-E1,0.03014987,9,Mixolimnion,73000,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,bacI,bacI-A,3.014987035,2200.940535,Bacteroidetes|bacI-A
Otu00022,LC-11m-E1,0.030063931,11,Mixolimnion,104333.3333,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,bacI,bacI-A,3.006393137,3136.670172,Bacteroidetes|bacI-A
Otu00039,LC-5m-E1,0.029180537,5,Mixolimnion,86666.66667,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Luna1,Luna1-A,2.918053687,2528.979862,Actinobacteria|Luna1-A
Otu00003,LC-19m-E1,0.028601509,19,Monimolimnion,397000,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,bacII,bacII-A,2.860150904,11354.79909,Bacteroidetes|bacII-A
Otu00020,LC-17m-E1,0.028569739,17,Monimolimnion,434666.6667,Bacteria,Bacteroidetes,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium,2.856973855,12418.31303,Bacteroidetes|Chlorobium
Otu00022,LC-3m-E1,0.028092118,3,Mixolimnion,95666.66667,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,bacI,bacI-A,2.809211832,2687.47932,Bacteroidetes|bacI-A
Otu00026,LC-5m-E1,0.027622353,5,Mixolimnion,86666.66667,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betIV,betIV-A,2.762235286,2393.937248,Proteobacteria|betIV-A
Otu00003,Cadagno15m-E2,0.027569566,15,Chemocline,905000,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,bacII,bacII-A,2.756956566,24950.45693,Bacteroidetes|bacII-A
Otu00019,LC-13m-E1,0.027516336,13,Chemocline,95333.33333,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,bacVI,unclassified,2.751633595,2623.224027,Bacteroidetes|unclassified
Otu00013,LC-17m-E1,0.027505028,17,Monimolimnion,434666.6667,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,gamI,unclassified,2.75050278,11955.51875,Proteobacteria|unclassified
Otu00005,LC-13m-E1,0.027336491,13,Chemocline,95333.33333,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betI,betI-B,2.733649062,2606.078772,Proteobacteria|betI-B
Otu00013,LC-15point5m-E1,0.027255774,15.5,Chemocline,585000,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,gamI,unclassified,2.725577392,15944.62774,Proteobacteria|unclassified
Otu00039,LC-3m-E1,0.027231818,3,Mixolimnion,95666.66667,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Luna1,Luna1-A,2.723181788,2605.177244,Actinobacteria|Luna1-A
Otu00003,LC-17m-E1,0.027209275,17,Monimolimnion,434666.6667,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,bacII,bacII-A,2.720927481,11826.96479,Bacteroidetes|bacII-A
Otu00045,LC-13m-E1,0.026497212,13,Chemocline,95333.33333,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,bacV,unclassified,2.64972124,2526.067582,Bacteroidetes|unclassified
Otu00059,Cadagno7m-E2,0.02627193,7,Mixolimnion,157333.3333,Bacteria,Chloroflexi,SL56_marine_group,SL56_marine_group_or,SL56_marine_group_fa,SL56_marine_group_ge,2.627192982,4133.450292,Chloroflexi|SL56_marine_group_ge
Otu00031,LC-9m-E1,0.026238298,9,Mixolimnion,73000,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,acIV,acIV-A,2.623829825,1915.395772,Actinobacteria|acIV-A
Otu00031,LC-3m-E1,0.026139898,3,Mixolimnion,95666.66667,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,acIV,acIV-A,2.613989809,2500.716917,Actinobacteria|acIV-A
Otu00006,LC-9m-E1,0.025754846,9,Mixolimnion,73000,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Chloroplast_fa,Chloroplast_ge,2.575484551,1880.103723,Cyanobacteria|Chloroplast_ge
Otu00020,LC-19m-E1,0.025735509,19,Monimolimnion,397000,Bacteria,Bacteroidetes,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium,2.573550915,10216.99713,Bacteroidetes|Chlorobium
Otu00040,LC-5m-E1,0.025710036,5,Mixolimnion,86666.66667,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,alfV,alfV-A,2.571003612,2228.203131,Proteobacteria|alfV-A
Otu00012,LC-13m-E1,0.025358192,13,Chemocline,95333.33333,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelotrichaceae_unclassified,2.535819195,2417.480966,Firmicutes|Erysipelotrichaceae_unclassified
Otu00020,Cadagno15m-E2,0.025259267,15,Chemocline,905000,Bacteria,Bacteroidetes,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium,2.525926687,22859.63651,Bacteroidetes|Chlorobium
Otu00057,LC-3m-E1,0.025246509,3,Mixolimnion,95666.66667,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter,2.524650917,2415.249377,Verrucomicrobia|Luteolibacter
Otu00008,LC-9m-E1,0.02483189,9,Mixolimnion,73000,Bacteria,Cyanobacteria,Oxyphotobacteria,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,Oxyphotobacteria_unclassified,2.48318903,1812.727992,Cyanobacteria|Oxyphotobacteria_unclassified
Otu00014,LC-3m-E1,0.02478327,3,Mixolimnion,95666.66667,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI_unclassified,2.478327047,2370.932875,Actinobacteria|acI_unclassified
Otu00039,LC-11m-E1,0.0243182,11,Mixolimnion,104333.3333,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Luna1,Luna1-A,2.431820021,2537.198888,Actinobacteria|Luna1-A
Otu00025,LC-9m-E1,0.023557333,9,Mixolimnion,73000,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acTH1,acTH1-A,2.35573331,1719.685316,Actinobacteria|acTH1-A
Otu00014,LC-5m-E1,0.023301934,5,Mixolimnion,86666.66667,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI_unclassified,2.330193356,2019.500909,Actinobacteria|acI_unclassified
Otu00003,LC-13m-E1,0.022480667,13,Chemocline,95333.33333,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,bacII,bacII-A,2.248066663,2143.156885,Bacteroidetes|bacII-A
Otu00014,LC-13m-E1,0.022420718,13,Chemocline,95333.33333,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acI,acI_unclassified,2.242071818,2137.4418,Actinobacteria|acI_unclassified
Otu00003,LC-15point5m-E1,0.022378425,15.5,Chemocline,585000,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,bacII,bacII-A,2.23784249,13091.37857,Bacteroidetes|bacII-A
Otu00005,LC-17m-E1,0.022240625,17,Monimolimnion,434666.6667,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betI,betI-B,2.224062463,9667.258173,Proteobacteria|betI-B
Otu00038,LC-11m-E1,0.021971352,11,Mixolimnion,104333.3333,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betI,betI-A,2.197135227,2292.344419,Proteobacteria|betI-A
Otu00005,LC-19m-E1,0.021816693,19,Monimolimnion,397000,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betI,betI-B,2.181669299,8661.227116,Proteobacteria|betI-B
Otu00047,LC-11m-E1,0.021809501,11,Mixolimnion,104333.3333,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,bacIII,bacIII-A,2.180950069,2275.457904,Bacteroidetes|bacIII-A
Otu00026,LC-15point5m-E1,0.021661168,15.5,Chemocline,585000,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betIV,betIV-A,2.166116769,12671.7831,Proteobacteria|betIV-A
Otu00047,Cadagno7m-E2,0.021359649,7,Mixolimnion,157333.3333,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,bacIII,bacIII-A,2.135964912,3360.584795,Bacteroidetes|bacIII-A
Otu00025,Cadagno7m-E2,0.021315789,7,Mixolimnion,157333.3333,Bacteria,Actinobacteria,Actinobacteria,Frankiales,acTH1,acTH1-A,2.131578947,3353.68421,Actinobacteria|acTH1-A
Otu00040,LC-9m-E1,0.02127192,9,Mixolimnion,73000,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,alfV,alfV-A,2.127192019,1552.850174,Proteobacteria|alfV-A
Otu00026,LC-11m-E1,0.021162094,11,Mixolimnion,104333.3333,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betIV,betIV-A,2.116209436,2207.911844,Proteobacteria|betIV-A
Otu00005,LC-3m-E1,0.020779565,3,Mixolimnion,95666.66667,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betI,betI-B,2.077956456,1987.911676,Proteobacteria|betI-B
Otu00026,LC-17m-E1,0.020288655,17,Monimolimnion,434666.6667,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,betIV,betIV-A,2.028865492,8818.802004,Proteobacteria|betIV-A
Otu00070,LC-13m-E1,0.02002278,13,Chemocline,95333.33333,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,env.OPS_17,env.OPS_17_ge,2.002278041,1908.838399,Bacteroidetes|env.OPS_17_ge
